car,time [us],time [s],NIS
2, 3900000, 3.9, 1.43795
2, 3933333, 3.93333, 5.14599
2, 3966666, 3.96667, 1.49593
2, 4000000, 4, 2.01034
2, 4033333, 4.03333, 4.62187
2, 4066666, 4.06667, 1.02998
2, 4100000, 4.1, 3.35029
2, 4133333, 4.13333, 2.74434
2, 4166666, 4.16667, 0.84116
2, 4200000, 4.2, 3.78907
2, 4233333, 4.23333, 3.72537
2, 4266666, 4.26667, 1.69742
2, 4300000, 4.3, 6.75197
2, 4333333, 4.33333, 0.905627
2, 4366666, 4.36667, 0.794424
2, 4400000, 4.4, 5.55457
2, 4433333, 4.43333, 4.26134
2, 4466666, 4.46667, 2.09062
2, 4500000, 4.5, 5.56146
2, 4533333, 4.53333, 1.25224
2, 4566666, 4.56667, 1.03568
2, 4600000, 4.6, 0.339511
2, 4633333, 4.63333, 1.62039
2, 4666666, 4.66667, 2.32209
2, 4700000, 4.7, 3.82449
2, 4733333, 4.73333, 3.95869
2, 4766666, 4.76667, 0.621233
2, 4800000, 4.8, 0.794536
2, 4833333, 4.83333, 1.35867
2, 4866666, 4.86667, 0.420118
2, 4900000, 4.9, 3.42142
2, 4933333, 4.93333, 3.41579
2, 4966666, 4.96667, 3.17683
2, 5000000, 5, 0.599612
2, 5033333, 5.03333, 2.49775
